CDS,AA_API,AI_API,AS_API,FI_API,HI_API,PI_API,WH_API,MR_API,SD_API,EL_API,DI_API,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,ACS_46,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,ENROLL,API,cds,NCESDist,District
01100170000000,440,,,,552,,,,514,541,331,37,0,2,1,46,1,4,8,24,28,71,26,9,3,358,516,01100170000000,0691051,Alameda County Office of Education
01611190000000,726,768,889,820,766,752,885,866,777,794,646,11,0,33,8,13,1,30,2,26,7,94,76,51,19,6916,847,01611190000000,0601770,Alameda Unified
01611270000000,745,789,915,876,830,,924,892,806,805,738,5,0,30,1,17,0,37,10,27,2,98,92,73,40,2897,892,01611270000000,0601860,Albany City Unified
01611430000000,659,734,835,793,760,758,923,868,729,705,631,22,0,8,0,22,0,33,10,24,7,92,81,61,36,7035,811,01611430000000,0604740,Berkeley Unified
01611500000000,783,807,932,889,806,801,884,883,799,828,674,6,0,24,3,23,0,33,10,29,2,99,86,58,22,7054,870,01611500000000,0607800,Castro Valley Unified
01611680000000,695,,836,,744,,825,,731,715,569,55,0,12,0,24,1,5,1,24,11,89,50,16,0,560,730,01611680000000,0612630,Emery Unified
01611760000000,729,769,960,861,734,773,846,859,758,850,686,4,0,52,6,14,1,18,3,28,5,96,83,68,38,24979,885,01611760000000,0614400,Fremont Unified
01611920000000,665,693,834,813,694,722,777,776,695,673,552,14,1,8,7,58,4,7,1,29,23,78,44,19,4,15514,718,01611920000000,0616740,Hayward Unified
01612000000000,726,876,896,873,773,840,881,884,750,697,701,2,0,5,3,29,0,53,6,27,10,90,76,51,18,9701,847,01612000000000,0622110,Livermore Valley Joint Unified
01612180000000,,,,,766,,817,,758,,,0,3,0,0,41,0,48,7,20,32,69,51,37,5,29,767,01612180000000,0626130,Mountain House Elementary
01612340000000,686,824,887,866,742,767,829,808,737,726,635,7,0,12,9,50,2,18,3,30,15,86,62,36,9,4988,784,01612340000000,0627060,Newark Unified
01612420000000,698,,863,822,700,753,786,816,709,720,594,8,0,22,20,35,4,7,5,34,12,88,67,39,12,9873,774,01612420000000,0626910,New Haven Unified
01612590000000,653,702,826,806,700,671,899,867,691,700,557,32,0,15,1,38,1,9,2,25,29,71,45,26,12,27716,728,01612590000000,0628050,Oakland Unified
01612750000000,839,,964,941,864,,940,947,,906,782,2,0,17,1,4,0,70,5,22,0,99,98,96,66,2014,940,01612750000000,0630330,Piedmont City Unified
01612910000000,673,694,854,814,703,668,793,825,712,709,598,17,0,15,8,45,1,11,2,28,15,85,54,25,6,6681,742,01612910000000,0634680,San Leandro Unified
01613090000000,681,787,876,828,718,715,776,759,727,718,607,13,0,11,8,53,2,11,1,29,14,86,54,25,4,8568,748,01613090000000,0634710,San Lorenzo Unified
01750930000000,813,878,959,921,834,860,899,887,808,853,735,7,0,29,8,15,1,37,3,29,1,99,88,69,28,5084,901,01750930000000,0600019,Dublin Unified
01751010000000,824,858,969,916,816,806,906,,778,869,747,2,1,31,3,9,0,53,0,30,1,99,94,82,45,11698,915,01751010000000,0600020,Pleasanton Unified
01751190000000,,,956,,896,,934,974,859,,775,0,0,10,0,19,0,57,12,30,1,99,95,74,41,204,936,01751190000000,0600021,Sunol Glen Unified
02613330000000,,711,,,,,883,,722,,729,0,43,0,0,3,0,48,1,9,7,93,81,25,9,67,792,02613330000000,0602070,Alpine County Unified
03100330000000,,,,,588,,583,,569,,508,0,6,0,1,26,0,59,5,5,13,87,50,19,6,207,574,03100330000000,0691001,Amador County Office of Education
03739810000000,,682,897,853,762,,813,800,754,693,598,0,2,1,0,17,0,72,5,26,5,95,69,31,10,3056,802,03739810000000,0602450,Amador County Unified
04100410000000,,675,,,714,,716,651,702,,570,2,8,1,0,27,0,55,7,11,11,89,60,19,8,376,709,04100410000000,0691002,Butte County Office of Education
04613820000000,,,,,,,809,,766,,672,1,5,0,0,11,1,81,0,13,12,87,64,28,2,83,794,04613820000000,0603780,Bangor Union Elementary
04614080000000,,,,,681,,735,,686,622,531,1,1,1,0,41,0,53,2,26,14,85,44,16,5,417,711,04614080000000,0605040,Biggs Unified
04614240000000,719,743,771,875,731,803,830,733,729,688,607,4,2,7,1,21,1,63,1,27,10,90,72,42,18,9404,799,04614240000000,0608370,Chico Unified
04614320000000,,797,,,713,,839,,751,658,618,1,2,0,0,20,0,75,2,24,6,94,84,51,20,797,812,04614320000000,0611730,Durham Unified
04614570000000,,,,,645,,725,,684,,634,0,5,0,0,16,0,79,0,6,14,86,65,18,8,85,705,04614570000000,0615480,Golden Feather Union Elementary
04614990000000,,,,,820,,919,954,841,764,789,0,2,4,0,35,0,51,7,29,12,89,83,45,7,228,886,04614990000000,0623700,Manzanita Elementary
